#{"t_start": 1780697294.9244785, "env_id": "None"}
r,l,t
0.6325,39,13.893277
0.8325,14,13.915386
-0.065,8,13.931047
-0.22,21,13.966705
0.9425,8,13.9806
0.95,5,13.987041
0.9075,8,13.994954
0.65,35,14.052529
0.9775,2,14.054248
0.92,11,14.082177
-0.0125,2,14.086765
0.935,7,14.103321
0.9225,7,14.116499
0.75,22,14.14612
0.77,22,14.174589
0.9075,10,14.189808
0.9675,4,14.194337
0.7675,23,14.222197
0.53,46,14.289998
-0.0675,7,14.300952
0.8825,12,14.314369
0.895,10,14.322521
0.94,8,14.333207
0.99,1,14.334748
-0.0075,1,14.334748
0.9875,1,14.33683
0.9325,5,14.33683
0.885,11,14.351332
0.9775,3,14.354409
-0.1175,15,14.370126
0.9375,8,14.374731
-0.0275,4,14.379659
0.955,5,14.384515
0.8825,12,14.395126
0.945,5,14.401687
0.985,1,14.401687
0.88,15,14.415356
0.8525,16,14.426901
-0.5225,52,14.474704
-0.0675,9,14.484428
0.965,3,14.484428
0.8925,11,14.496226
0.97,4,14.502513
0.835,16,14.515126
0.8825,13,14.524493
0.945,4,14.530957
0.9625,5,14.535619
0.9025,13,14.545097
-0.155,17,14.557373
0.9075,11,14.568015
0.99,2,14.572169
-0.0175,5,14.574331
0.9725,2,14.574331
0.9375,6,14.584314
-0.0125,2,14.584314
0.845,16,14.60222
0.8425,17,14.616633
-0.1025,8,14.622542
0.935,6,14.62463
0.9775,2,14.63282
-0.055,5,14.64266
0.9875,3,14.645168
-0.115,13,14.660854
0.875,10,14.674402
0.865,15,14.689854
-0.27,27,14.727153
-0.01,3,14.732464
-0.1225,11,14.744425
-0.22,19,17.152111
0.99,1,17.152111
0.96,4,17.155981
-0.33,30,17.188645
0.9775,2,17.190648
0.9025,11,17.204368
0.8875,13,17.218755
0.955,4,17.222777
0.98,2,17.226418
-0.055,6,17.232091
0.9875,1,17.234603
0.675,33,17.276377
0.87,14,17.291605
-0.1,8,17.301172
0.8925,11,17.313523
0.91,8,17.324321
-0.175,19,17.339541
0.9875,1,17.339541
-0.0075,1,17.342059
-0.1425,19,17.354681
0.0,1,17.354681
0.97,4,17.364495
-0.2275,25,17.384621
0.97,4,17.384621
0.9275,8,17.399864
-0.1875,17,17.410505
0.945,5,17.416183
0.9675,5,17.422839
0.84,16,17.434589
0.8975,9,17.44442
0.99,1,17.446292
0.9,13,17.457315
0.8475,16,17.472426
-0.035,5,17.474484
0.9475,5,17.477245
0.99,2,17.482486
0.73,26,17.502246
-0.03,4,17.506361
0.9375,6,17.50905
0.91,12,17.519609
-0.155,17,17.534669
0.94,7,17.539789
0.8575,12,17.55223
0.8875,12,17.560701
0.84,15,17.572163
0.78,22,17.594336
-0.145,15,17.604601
0.955,7,17.604601
0.97,2,17.604601
-0.215,19,17.630019
-0.005,1,17.630019
0.9175,8,17.630019
0.9275,8,17.644511
-0.06,6,17.649104
-0.015,3,17.654331
0.9525,5,17.654331
-0.1325,12,17.654331
0.83,16,17.68224
0.81,15,17.692313
0.9325,7,17.698911
0.91,8,17.70457
0.8975,8,17.712075
0.9875,1,17.714639
-0.015,2,17.714639
0.79,24,17.734333
0.925,9,17.739539
0.72,25,17.754399
-0.1375,13,17.764309
-0.01,1,17.764309
-0.19,23,17.784615
-0.055,4,17.784615
0.98,4,17.796293
-0.0275,2,17.799034
0.8975,11,17.804741
0.865,12,17.814632
0.9775,2,17.814632
0.975,3,17.819749
0.9,11,17.827994
0.86,12,17.834569
-0.0225,3,17.839678
-0.02,3,17.839678
0.865,17,17.856351
0.8775,10,17.866377
0.815,22,17.882281
0.0,1,17.882281
0.925,7,17.88638
0.9975,1,17.888387
0.9525,4,17.890393
-0.0175,1,17.890393
-0.255,23,17.904404
0.9225,7,17.914485
0.4325,49,17.952578
0.9375,6,17.954635
0.825,16,17.964508
0.7675,22,17.984372
-0.07,9,17.994918
0.9575,5,18.001017
0.94,5,18.004576
0.725,27,18.02491
0.855,15,18.034741
0.9875,1,18.034741
-0.0125,1,18.034741
-0.2625,23,18.06255
0.9825,1,18.064645
-0.0125,2,18.064645
0.0,1,18.064645
0.955,5,18.064645
0.605,43,18.115096
-0.16,15,18.127958
0.99,1,18.127958
0.9625,4,18.134386
0.985,3,18.136909
-0.0375,4,18.136909
0.915,7,18.144591
0.915,10,18.156084
0.855,17,18.174426
-0.2225,25,18.201189
-0.0375,6,18.20471
-0.015,1,18.206844
0.96,5,18.212563
0.9625,4,18.216763
0.9675,3,18.218773
-0.1175,14,18.228718
0.8925,13,18.254664
-0.0375,4,18.262263
-0.0075,2,18.266814
-0.1575,16,18.290014
-0.2275,23,18.32852
0.92,9,18.34047
0.9725,3,18.345976
0.8375,14,18.365979
0.85,15,18.39817
0.9325,7,18.407994
-0.01,1,18.408993
0.9475,4,18.417148
-0.035,2,18.41917
-0.0075,1,18.420171
0.9825,1,18.421294
0.9625,4,18.426229
0.86,12,18.442297
-0.0125,2,18.449109
-0.195,18,18.477837
-0.01,1,18.48071
0.94,6,18.489074
0.88,13,18.511353
0.9675,4,18.522452
0.8425,17,18.545131
0.88,13,18.58442
-0.115,12,18.606119
0.895,13,18.639465
0.83,14,18.668934
-0.0175,1,18.669927
0.835,18,18.70001
0.8025,17,18.726113
-0.14,11,18.741532
0.9275,6,18.753043
0.94,4,18.78328
-0.075,9,18.80224
0.9,11,18.817216
0.97,2,18.819244
-0.01,2,18.821245
0.975,3,18.824765
0.7,32,18.885506
0.81,14,18.903176
-0.055,4,18.912532
-0.03,2,18.917203
0.9425,5,18.926184
0.9025,10,18.948823
0.9675,3,18.95424
0.9575,5,18.959294
-0.04,5,18.969697
0.8125,21,19.010977
0.98,2,19.017506
-0.0925,9,19.041497
-0.0575,7,19.052332
0.905,10,19.070338
0.845,15,19.094227
0.935,7,19.11001
-0.0475,5,19.120128
0.9075,7,19.134323
0.9125,9,19.154355
0.8975,10,19.167667
0.9325,9,19.189049
0.915,8,19.202336
0.725,28,19.234379
-0.1175,11,19.254407
0.9675,3,19.260932
0.8375,16,19.282576
0.835,19,19.30549
0.905,7,19.31418
0.9175,10,19.322314
-0.1725,17,19.340381
0.9375,7,19.3491
0.9725,2,19.35271
-0.01,1,19.354272
0.855,13,19.372831
0.9825,1,19.374357
0.84,19,19.398795
0.93,7,19.404363
-0.095,10,19.419265
0.9125,12,19.435183
-0.0125,2,19.438096
0.8525,16,19.465057
-0.02,2,19.467076
-0.025,2,19.470347
0.895,10,19.483279
0.9275,8,19.493315
0.9675,5,19.499376
0.995,1,19.500382
0.97,3,19.50693
0.8625,13,19.524251
-0.0175,2,19.529643
0.6825,30,19.574219
-0.02,1,19.577667
-0.035,5,19.586015
0.985,2,19.59003
0.9925,1,19.592879
-0.0325,4,19.602267
-0.02,2,19.604287
-0.0025,1,19.605685
0.9625,3,19.607702
0.92,6,19.619708
0.0,1,19.619708
0.7625,24,22.75431
-0.015,3,22.758843
0.9675,2,22.761873
0.9825,1,22.764423
0.995,1,22.76544
0.6625,39,22.846322
0.9175,10,22.868501
-0.0225,4,22.874478
-0.0475,5,22.884785
0.9675,3,22.884785
0.8425,15,22.917165
0.8975,11,22.933536
-0.1775,20,22.957183
0.94,8,22.972121
0.9825,1,22.972121
0.9275,6,22.982989
0.935,8,22.993626
-0.0625,8,23.005107
0.9575,5,23.016644
0.97,3,23.022125
0.96,5,23.028125
0.8775,12,23.047707
-0.145,14,23.068165
0.9875,2,23.07016
0.98,2,23.072165
0.8475,20,23.097407
0.845,15,23.121106
-0.0925,8,23.133493
0.915,8,23.148194
-0.04,6,23.154744
0.9825,1,23.156256
-0.0525,7,23.17169
-0.1475,19,23.202817
0.975,3,23.207966
0.89,16,23.234611
0.9875,2,23.238605
0.915,6,23.247624
-0.15,13,23.265487
-0.1175,15,23.28855
-0.045,5,23.295818
0.8525,17,23.318336
-0.0175,3,23.321337
-0.015,3,23.327601
0.9725,4,23.33453
0.94,8,23.346001
-0.035,4,23.352547
0.915,10,23.367012
-0.005,1,23.369195
0.975,2,23.373208
0.995,1,23.374721
0.96,5,23.384357
0.9875,2,23.386091
0.9375,6,23.395495
0.7325,33,23.440364
0.99,1,23.44237
0.95,5,23.454698
0.68,36,23.505782
-0.0125,2,23.505782
0.7825,24,23.540914
0.98,2,23.544952
1.0,1,23.548124
0.8825,11,23.564359
0.955,5,23.574521
-0.0075,2,23.578053
-0.035,5,23.58786
0.0,1,23.588855
-0.095,10,23.60326
-0.04,7,23.616419
-0.0425,4,23.622498
0.985,2,23.625043
0.995,1,23.625043
0.9775,2,23.629049
0.9125,10,23.643492
-0.0375,5,23.651371
0.88,13,23.665539
0.815,18,23.68504
0.965,3,23.699065
0.9625,3,23.70466
0.9925,2,23.707341
-0.0325,6,23.71661
0.9825,1,23.718626
0.84,18,23.734808
0.8225,16,23.752175
-0.115,11,23.762878
0.7025,29,23.791966
1.0,1,23.792964
0.8825,12,23.804424
0.0,1,23.804424
0.9825,2,23.804424
-0.255,23,23.83175
0.7625,21,23.852349
-0.025,3,23.854362
-0.0025,1,23.854362
-0.16,17,23.868846
-0.1025,15,23.881543
0.9175,6,23.886629
0.8025,18,23.902084
-0.13,11,23.914702
0.945,8,23.922332
0.9825,1,23.92436
-0.0525,7,23.937092
0.96,2,23.937728
-0.01,1,23.937728
-0.2125,19,23.970962
-0.03,4,23.976631
-0.005,2,23.979949
0.93,7,23.992409
0.91,10,24.010932
-0.01,1,24.013457
-0.0625,5,24.023525
-0.05,5,24.03475
0.9325,10,24.068697
-0.005,2,24.086565
0.9625,4,24.128632
0.965,3,24.138857
