#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
-0.095,9,8.274069
0.755,23,8.32045
0.975,3,8.321966
0.8375,15,8.347783
-0.1525,16,8.388374
0.75,26,8.438982
0.7975,19,8.466228
0.695,27,8.505147
0.8675,14,8.532418
0.8425,14,8.551758
-0.0125,3,8.557122
-0.175,14,8.578205
-0.0725,6,8.592028
0.95,4,8.597863
-0.075,5,8.604593
-0.0225,2,8.610461
-0.0275,4,8.619043
0.92,9,8.640233
-0.075,8,8.658122
-0.185,17,8.684369
0.94,8,8.704098
0.9825,2,8.710951
0.89,11,8.728682
0.8875,10,8.746787
0.6875,30,8.797764
0.8025,22,8.842004
0.89,10,8.85637
0.0,1,8.863907
-0.0275,2,8.86558
0.8,23,8.919243
-0.005,2,8.920268
0.6075,40,8.986596
0.9925,2,8.994417
0.6375,37,9.061561
0.9825,2,9.065114
0.995,1,9.06656
-0.0175,1,9.067874
0.9825,1,9.069872
0.9275,5,9.080612
-0.065,7,9.087665
-0.0375,4,9.099437
-0.08,10,9.121328
-0.1125,10,9.136338
0.9625,4,9.143916
-0.0175,1,9.150434
-0.0375,4,9.16104
-0.1275,12,9.183965
-0.045,4,9.19148
0.93,5,9.200486
0.995,1,9.200486
0.6775,33,9.272899
0.9375,6,9.289523
0.7875,19,9.33446
-0.0425,4,9.343945
0.9775,2,9.344451
0.99,1,9.346466
0.7875,21,9.399989
0.935,6,9.4081
0.88,11,9.434336
0.9525,4,9.443885
0.8675,13,9.469626
0.845,16,9.504477
0.9575,4,9.511978
0.955,5,9.518845
-0.1575,16,9.553267
0.9825,1,9.564384
0.6975,27,9.606274
0.9225,8,9.618246
0.94,6,9.631933
-0.105,11,9.657068
0.935,7,9.66602
0.7775,23,9.704324
0.8775,12,9.722749
-0.07,5,9.732047
0.9775,3,9.738625
0.575,40,9.803111
-0.0175,2,9.812041
0.68,29,9.880443
-0.1575,17,9.909123
0.965,3,9.914149
0.8825,15,9.946701
-0.245,27,9.993287
0.945,5,10.003937
0.885,11,10.017024
0.8525,13,10.053934
0.95,4,10.062059
0.97,2,10.063075
0.9325,8,10.07411
-0.29,33,10.134203
0.84,14,10.163939
-0.09,8,10.176517
0.815,20,10.205941
0.0,1,10.207953
-0.01,1,10.207953
0.99,1,10.21417
-0.0425,4,10.21417
0.9,10,10.244054
-0.0125,1,10.244568
-0.185,19,10.285261
0.95,6,10.298149
-0.1425,11,10.318032
0.8175,18,10.357376
0.985,3,10.366264
0.9525,4,10.373516
0.925,8,10.393225
0.95,8,10.40395
0.9475,5,10.411956
0.97,5,10.42306
-0.1425,16,10.462537
0.9325,9,10.479965
0.9825,1,10.486494
-0.12,12,10.513176
0.8,17,10.545326
-0.105,11,10.571799
0.97,2,10.573968
0.7475,26,10.624052
-0.0275,4,10.63415
0.95,6,10.641854
0.9275,6,10.659073
0.9625,5,10.66913
-0.09,10,10.694069
-0.0675,6,10.708808
0.9075,7,10.723523
0.8675,12,10.740628
0.89,12,10.764171
0.8275,15,10.793062
-0.39,38,10.874307
-0.06,7,10.888123
0.975,2,10.892893
0.815,20,10.939403
0.9275,6,10.953011
-0.015,2,10.95401
-0.125,12,10.978673
0.985,2,10.9857
0.9225,9,10.99938
0.8225,15,11.019866
0.905,12,11.044484
0.8275,16,11.070217
0.915,7,11.077454
-0.04,6,11.090541
0.8725,12,11.109994
-0.0175,2,11.112001
0.81,17,11.141138
0.95,6,11.14765
0.9375,8,11.161034
0.705,26,11.205446
-0.145,15,11.22651
0.695,28,11.266121
-0.0375,4,11.276692
-0.0175,2,11.282654
0.0,1,11.2838
0.965,4,11.290999
0.98,4,11.304658
0.87,13,11.359736
0.9675,5,11.374325
0.89,11,11.384498
0.86,12,11.408809
0.9625,4,11.416854
-0.0175,3,11.418156
-0.2325,27,11.47058
-0.1075,9,11.485159
0.865,13,11.511205
0.9225,8,11.526094
-0.0025,1,11.530309
-0.045,4,11.538215
-0.0175,1,11.538215
-0.445,47,11.617304
0.9875,2,11.618303
0.0,1,11.621372
0.7775,22,11.658697
0.875,12,11.679383
0.97,4,11.686443
0.8825,11,11.70991
0.8525,22,11.751137
0.905,9,11.765009
0.955,5,11.775017
0.9475,5,11.786108
0.8875,9,11.802196
0.92,8,11.814985
-0.0025,1,11.814985
0.7475,26,11.871523
0.89,12,11.891043
-0.0675,6,11.90212
0.9,11,11.919691
-0.0375,3,11.927229
0.9925,1,11.927229
-0.2675,29,11.968926
0.9675,2,11.975347
-0.1125,9,11.989358
0.8725,17,12.013203
0.96,4,12.016152
0.9725,3,12.025558
-0.0525,4,12.033099
0.815,18,12.063293
-0.175,17,12.086448
-0.135,15,12.108753
0.985,2,12.108753
-0.015,3,12.118964
-0.0275,2,12.118964
-0.09,9,12.140096
0.98,2,12.14565
0.94,6,12.167459
0.985,3,12.169456
0.8175,14,12.189909
0.85,18,12.214039
